PROGRESSIVO DOMANDA,CARTA,SETTORE,TESTO,RISPOSTA,ARGOMENTO,DIFFICOLTA
5.1.1 - 1,5/D,A,"L’imbarcazione “Daphne” si trova sul punto A di coordinate geografiche GPS: Lat. 42° 51’ N e Long. 010° 16’,9 E. Da questa posizione dirige sul punto B situato sul rilevamento vero Rilv = 127° del Monumento di Capo della Vita, distanza dal monumento 2,9 miglia nautiche. Posto che in zona è presente una corrente con direzione della corrente Dc = 180° e velocità della corrente Vc = 2 kn, indicare la velocità propria Vp da impostare per raggiungere il punto B in 30 minuti. ",Vp = 9 ÷ 11 kn,correnti,*
5.1.1 - 2,5/D,A,"L’imbarcazione “Fru Fru” è in navigazione a largo dell’Isola d’Elba e, alle ore 08h30m, determina la propria posizione osservando il Faro di P.ta Polveraia (Lam. L. (3)15s52m16M) per rilevamento vero Rilv = 112° ad una distanza di 1,8 miglia nautiche (punto A). Dal punto A l’unità procede con prora vera Pv = 350° e con una velocità propulsiva Vp = 8,5 kn. Alle ore 09h18m, al fine di verificare gli elementi del moto presenti in zona, l’unità determina la propria posizione individuata dalle seguenti coordinate geografiche GPS: Lat. 42° 53’,0 N - Long. 010° 00’,0 E (punto B). Posto che sono, pertanto, variati gli elementi perturbatori del moto, determinare la direzione della corrente Dc. ",Dc = 221° ÷ 227°,correnti,*
5.1.1 - 3,5/D,A,"L’imbarcazione “Europa” naviga da 1h15m a Nord dell’isola d’Elba e il solcometro a elica segna una velocità propulsiva Vp = 5 kn. Ci troviamo sull’allineamento Scoglietto – Faro di Portoferraio a una distanza di 3 miglia nautiche da Scoglietto e decidiamo di dirigere per il porticciolo turistico di Salivoli. Dato che il punto nave stimato si trova a 2,5 miglia nautiche a Sud Ovest del punto nave calcolato, imputiamo questo spostamento alla presenza di una corrente. Calcolare il tempo necessario per raggiungere il porticciolo di Salivoli. ",Tempo di navigazione 1h14m ÷ 1h20m,correnti,*
5.1.1 - 4,5/D,A,"Alle ore 08h30m l’imbarcazione “Italia” sta navigando con prora vera Pv = 260° e velocità propulsiva Vp = 6,5 kn e si trova sul punto A di coordinate geografiche GPS: Lat. 42° 41’ N - Long. 010° 28’,4 E. Alle ore 09h40m si trova sul punto B dal quale si osserva Punta Morcone per rilevamento vero Rilv = 035° e il Faro di Capo di Poro per rilevamento vero Rilv = 310°. Posto che in zona sono presenti elementi perturbatori del moto, determinare la direzione della corrente Dc. ",Dc = 027° ÷ 033°,correnti,*
5.1.1 - 5,5/D,A,"Alle ore 08h00m l’imbarcazione “Nausicaa” si trova sul punto A di coordinate geografiche GPS: Lat. 42° 50’ N - Long. 010° 00’ E Da tale posizione, l’unità si dirige a Punta Falcone, dove si deve arrivare alle ore 11h30m. Alle ore 09h30m, al fine di verificare la presenza di elementi perturbatori del moto, l’imbarcazione stabilisce la sua posizione (punto B), attraverso l’osservazione dei seguenti rilevamenti: Rilv = 130° del traliccio Monte Poppe (Ovest Portoferraio); Rilv = 203° del Faro di Punta Polveraia. Determinare la direzione corrente Dc. ",Dc = 288° ÷ 294°,correnti,*
5.1.1 - 6,5/D,A,"Alle ore 10h00m l’unità “Acrux” si trova nel punto A di coordinate geografiche GPS: Lat. 42° 39’ N - Long. 010° 12’,7 E. Dal punto A si intende raggiungere Punta di Fetovaia con una velocità propria Vp = 4 kn. Considerato che in zona è presente una corrente di direzione Dc = 270° e velocità Vc = 2 nodi, determinare l’ora di arrivo. ",Ora di arrivo 11h05m ÷ 11h11m,correnti,*
5.1.2 - 1,5/D,A,"Partenza da Isola Cerboli (Est Isola d’Elba) alle ore 08 24m con velocità propulsiva Vp = 6 kn e rotta vera Rv = 180°. Successivamente si rileva Capo d’Ortano al traverso a una distanza di 4,9 miglia nautiche. Dal punto nave A determinato si vuole proseguire per raggiungere il punto B di coordinate geografiche GPS: Lat. 42°40’ N Long. 010° 30’ E. Determinare la quantità di carburante necessaria, inclusa la riserva, dalla partenza e fino a destinazione sapendo che il motore ha un consumo di 12 l/h. ",Carburante 29 ÷ 31 litri,carburante,*
5.1.2 - 2,5/D,A,"Siamo in navigazione a Nord dell’Isola d’Elba con prora bussola Pb = 69° (variazione magnetica V = +1°) e una velocità propria Vp = 6 kn. Alle ore 11h30m rileviamo il faro di Scoglietto per rilevamento polare ρ = +045° e sempre lo stesso alle ore 11h50m per rilevamento polare ρ = +090°. Da tale punto nave costiero A si vuole raggiungere Punta Falcone. Sapendo che il consumo orario del nostro motore è di 10 l/h, determinare la quantità di carburante necessaria, inclusa la riserva, per il tratto di navigazione a partire dall’ultimo punto nave A delle 11h50m. ",Carburante 19 ÷ 21 litri,carburante,*
5.1.2 - 3,5/D,A,"Partenza dal punto A di coordinate geografiche GPS: Lat. 42°44’,2 N e Long. 010° 21’,2 E con prora vera Pv = 247° e velocità propulsiva Vp = 6 kn. Alle ore 12h00m ci troviamo nel punto dove rileviamo con rilevamento polare ρ = +045° il Faro di Capo di Poro e 15 minuti dopo rileviamo lo stesso faro al traverso ρ = +090° (punto B). Da tale punto nave B, si dirige verso il punto C di coordinate geografiche GPS: Lat. 42° 40’ N e Long. 010° 00’ E. Determinare la quantità di carburante necessaria per tutta la navigazione, inclusa la riserva, considerando un consumo medio di 4 l/h. ",Carburante 13 ÷ 15 litri,carburante,*
5.1.2 - 4,5/D,A,"Partenza da Punta del Nasuto (Nord Ovest dell’Isola d’Elba) con una prora bussola Pb = 060° (variazione magnetica V = 4° W) e una velocità propria Vp = 6 kn. Si vuole determinare il punto nave A eseguendo con fanale Scoglietto due rilevamenti polari a dritta: 1) ρ =+045° eseguito alle ore 10h00m 2) ρ =+090° eseguito alle ore 10h28m. Determinare la quantità di carburante, compresa la riserva, necessaria dalla partenza per arrivare al porticciolo turistico di Salivoli (simbolo) sapendo che il nostro motore ha un consumo pari a 10l/h. ",Carburante 33 ÷ 35 litri,carburante,*
